Rifugiato;Annuncio;Label
Traduzione testi tecnici in inglese, francese, ecc.;Istruttore di fitness per corsi di gruppo in palestra;0
Supporto per esami di certificazioni linguistiche;Beatmaker e produttore per artisti hip-hop e pop;0
Creazione di contenuti multilingue per aziende;Maestro di chitarra per lezioni individuali e di gruppo;0
Organizzazione di eventi e matrimoni;Assistente amministrativo per ufficio legale;0
Gestione di team e progetti complessi;Tecnico manutenzione macchinari industriali;0
Pianificazione logistica e trasporti;Ingegnere del software specializzato in automazione con Python;0
Saldatura - ScuolaPrimaria;Traduttore per eventi aziendali e meeting di alto livello;0
Riparazione di elettrodomestici - ScuolaPrimaria;Clown e artista di strada per eventi per l'infanzia;0
Manutenzione di impianti elettrici;Store manager per catena di negozi locali;0
Manutenzione di impianti idraulici;Specialista in traduzione di brevetti e documenti tecnici per il settore tecnologico;0
Riparazione di veicoli;Programmatore junior - Opportunità in team esperto;0
Verniciatura di pareti e superfici;Operaio metalmeccanico;0
Manutenzione del verde e giardinaggio;Gestore pratiche amministrative - Contratto con benefit;0
Manutenzione di ascensori;Manutentore per impianti di raffreddamento industriale;0
Montaggio di mobili;Operatore specializzato nella potatura e abbattimento di alberi;0
Riparazione di dispositivi elettronici;Web Developer e Creatore di Contenuti - Inizio immediato!;0
Installazione di climatizzatori;Insegnante di lingue straniere;0
Sostituzione di piastrelle e pavimenti;Falegname;0
Pulizia di case e abitazioni;saldatore ;0
Pulizia di uffici e locali commerciali;Agente di vendita settore assicurativo;0
Sanificazione di ambienti;pizzaiolo;0
Lavaggio e stiratura di indumenti;Elettricista impianti civili e industriali - ;0
Organizzazione degli spazi in casa;Autista di mezzi pesanti per trasporto merci;0
Pulizia di grandi superfici come magazzini;assistente infermieria;0
Pulizia e cura di tappeti e tessuti delicati;ingegnere civile;0
Servizio di pulizia post-ristrutturazione;Sviluppatore software per piattaforme di e-commerce;0
Preparazione di pasti casalinghi;Addetto/a alla sicurezza per eventi;0
Panificazione e preparazione di dolci;Medico di base;0
Cucina internazionale (es. sushi, cucina messicana);Contabile per gestione finanziaria di un ristorante;0
Preparazione di catering per eventi;Operatore CNC per lavorazione di metalli e materiali plastici;0
Barista e preparazione di cocktail;Segretario amministrativo per studio legale;0
Servizio ai tavoli;Ingegnere meccanico per progettazione di impianti industriali;0
Gestione di ristoranti e cucine;Medico specializzato in chirurgia estetica;0
Conoscenza di diete speciali (vegana, senza glutine);Operatore/trice socio-sanitario - Contratto regolare;0
Programmazione in Python;Grafico/a freelance - Collaborazione creativa;0
Programmazione in JavaScript;Orafo/a cercasi - Possibilità di crescita;0
Creazione di siti web (HTML/CSS);Ceramista per laboratorio artistico - Contratto flessibile;0
Sviluppo di applicazioni mobile;Cuoco/a specializzato in cucina etnica - Contratto stabile;0
Analisi dei dati con Excel o Power BI;Addetto/a food truck - Contratto dinamico;0
Automazione dei processi con script;Addetto/a alla posa di infissi - Contratto diretto;0
Sviluppo di videogiochi;Operatore gru su cantiere - Inizio rapido;0
Configurazione di reti informatiche;Addetto/a trasporti pesanti - Retribuzione garantita;0
Sicurezza informatica;Carrellista per stoccaggio merci - Ambiente dinamico;0
Creazione di database;Operatore/trice serre idroponiche - Inizio immediato;0
Assistenza tecnica hardware/software;Consulente per inclusione sociale - Progetto locale;0
Utilizzo di strumenti CAD;Mediatore linguistico e culturale - Lavoro dinamico;0
Progettazione grafica (Photoshop, Illustrator);Addetto/a alla vendita di prodotti sostenibili;0
Progettazione di interni;Store manager per catena di negozi locali;0
Disegno tecnico e industriale;Promoter in centro commerciale - Lavoro flessibile;0
Progettazione 3D (Blender, AutoCAD);Addetto/a inventario per supermercati;0
Fotografia professionale;Aiuto chef per resort stagionale;0
Editing video (Premiere, Final Cut);Receptionist per studio legale - Ambiente professionale;0
Creazione di loghi e brand identity;Operatore ecologico - Lavoro sicuro e stabile;0
Progettazione di materiali pubblicitari;Tecnico del Restauro;0
Creazione di contenuti per social media;Addetto/a ai ponteggi - Offerta con formazione inclusa;0
Produzione musicale;Guardia forestale per tutela della biodiversità;0
Gestione di campagne pubblicitarie;Addetto/a assistenza IT - Opportunità stabile;0
Creazione di contenuti per blog;Data entry per gestione database - Lavoro part time;0
Scrittura SEO per il web;Addetto/a alla cura degli animali - Offerta con vitto incluso;0
Analisi di mercato;Addetto/a a impianti di irrigazione agricola;0
Gestione di account social media;Supporto amministrativo per startup innovativa;0
Pianificazione di strategie di marketing digitale;Restauratore di opere d'arte con esperienza in affreschi antichi;0
Email marketing;Designer 3D e Specialista SEO - Inizio immediato!;0
Gestione di relazioni con i clienti (CRM);Operaio specializzato in assemblaggio meccanico;0
Pubblicità su piattaforme come Google Ads o Facebook Ads;Fisioterapista per riabilitazione post-infortunio;0
Creazione di newsletter;Addetto alla preparazione di dolci e biscotti per panificio locale;0
Scrittura creativa e narrativa;Tecnico installatore di impianti di climatizzazione residenziale;0
Redazione di articoli giornalistici;Architetto d'interni per la realizzazione di layout innovativi per uffici e spazi aziendali;0
Traduzione di documenti in lingue straniere;Operatore di macchine industriali per il settore manifatturiero;0
Revisione e correzione di testi;Montatore mobili -  Competenze chiave: assemblaggio su misura, utilizzo attrezzi manuali ed elettrici. Istruzione minima: Laurea. Gradita esperienza su progetti simili in contesti industriali. Azienda in forte crescita cerca personale qualificato.;0
Scrittura di manuali tecnici;Venditore per articoli artigianali locali;0
Scrittura accademica e tesi di laurea;Collaboratore domestico – Lavaggio e cura di indumenti a domicilio;0
Scrittura di sceneggiature;Responsabile animazione in villaggio turistico;0
Insegnamento di materie scolastiche (matematica, italiano);Data entry amministrativo - Lavoro in smart working;0
Tutoraggio per studenti universitari;Portiere di notte - Contratto a norma;0
Assistenza ai compiti per bambini;Specialista in pulizia profonda di appartamenti dopo lavori edilizi;0
Insegnamento di lingue straniere;Web Developer e Creatore di Contenuti - Inizio immediato!;0
Lavorare con bambini e animatori per eventi;Addetto/a a stampaggio metalli - Contratto garantito;0
Supporto educativo per bambini con disabilità;Software Engineer per sviluppo di applicazioni web con JavaScript;0
Lezioni di musica (pianoforte, chitarra);Archivista per biblioteca locale;0
Lezioni di sport o personal trainer;Designer 3D e Tutoraggio Universitario - Opportunità di crescita!;0
Creazione di corsi online;Guida turistica per percorsi culturali e storici;0
Lavorazione del legno;Dog sitter - Amore per gli animali richiesto!;0
Creazione di gioielli artigianali;Designer 3D e Specialista SEO - Inizio immediato!;0
Cucito e riparazione di abiti;Addetto/a alle pulizie - Orari mattutini;0
Decorazione di interni;Consulente nutrizionale per piani alimentari personalizzati;0
Falegnameria su misura;Impiegato/a gestione risorse umane junior;0
Realizzazione di sculture o opere d’arte;Operatore/trice call center - Anche senza esperienza;0
Restauro di mobili antichi;Coordinatore progetti comunitari - Contratto diretto;0
Origami o arti decorative;Designer 3D e Tutoraggio Universitario - Opportunità di crescita!;0
Assistenza a persone anziane;Giornalista per redazione di articoli su attualità e politica;0
Cura e assistenza a persone con disabilità;Meccanico/a per riparazioni veicoli - Inizio immediato!;0
Massaggi e trattamenti benessere;Dog sitter - Amore per gli animali richiesto!;0
Consulenza nutrizionale;Manovale edile - Opportunità di crescita;0
Consulenza per fitness e allenamenti personalizzati;Raccoglitore di frutta stagionale - Alloggio incluso;0
Babysitting e cura di bambini piccoli;Specialista in Creazione di Corsi Online - Inizio immediato!;0
Coaching personale e motivazionale;Gestione case vacanze - Posizione stabile;0
Interpretariato in tempo reale;Sviluppatore iOS/Android per startup tecnologica;0
Traduzione simultanea durante eventi;Cameriere per evento catering di alto livello;0
Insegnamento di italiano per stranieri;Piastrellista cercasi - Formazione sul campo garantita;0
Traduzione testi tecnici in inglese, francese, ecc.;Designer di gioielli per sviluppo di nuove collezioni artigianali;0
Supporto per esami di certificazioni linguistiche;E-commerce Marketing Specialist per campagne email mirate e retargeting;0
Creazione di contenuti multilingue per aziende;Responsabile vendite con competenze in CRM per gestione del ciclo di vendita;0
Organizzazione di eventi e matrimoni;Operaio/a tessile - Produzione di qualità;0
Gestione di team e progetti complessi;Addetto alla vendita in negozio di abbigliamento;0
Pianificazione logistica e trasporti;Artista plastico per installazioni urbane e monumentali;0
Saldatura - ScuolaPrimaria;Analista di sicurezza IT per monitoraggio e prevenzione attacchi;0
Riparazione di elettrodomestici - ScuolaPrimaria;Estetista qualificata per trattamenti viso e corpo con focus sul benessere generale;0
Manutenzione di impianti elettrici;Specialista SEO e digital marketing;0
Manutenzione di impianti idraulici;Elettricista esperto per manutenzione e riparazione impianti di climatizzazione;0
Riparazione di veicoli;Responsabile sala - Leadership e organizzazione;0
Verniciatura di pareti e superfici;Tecnico impianti fotovoltaici;0
Manutenzione del verde e giardinaggio;Carrellista per stoccaggio merci - Ambiente dinamico;0
Manutenzione di ascensori;Carrozziere esperto in riparazioni e verniciatura di autoveicoli;0
Montaggio di mobili;Manutentore specializzato in impianti idrico-sanitari per edifici residenziali;0
Riparazione di dispositivi elettronici;Addetto/a alla vendita di prodotti sostenibili;0
Installazione di climatizzatori;Cuoco per ristorante di cucina messicana;0
Sostituzione di piastrelle e pavimenti;Cuoco per ristorante specializzato in cucina vegetariana;0
Pulizia di case e abitazioni;Dietologo;0
Pulizia di uffici e locali commerciali;Programmatore Java per sviluppo software;0
Sanificazione di ambienti;istrutturo palestra;0
Lavaggio e stiratura di indumenti;animatore turistico;0
Organizzazione degli spazi in casa;Operatore di call center per assistenza clienti;0
Pulizia di grandi superfici come magazzini;assistente scolastico;0
Pulizia e cura di tappeti e tessuti delicati;Social media manager;0
Servizio di pulizia post-ristrutturazione;Addetto vendita in negozio di elettronica;0
Preparazione di pasti casalinghi;Insegnante di matematica per scuole superiori;0
Panificazione e preparazione di dolci;Commercialista;0
Cucina internazionale (es. sushi, cucina messicana);Corriere per consegna di prodotti alimentari;0
Preparazione di catering per eventi;Avvocato esperto in diritto commerciale e contratti aziendali;0
Barista e preparazione di cocktail;Estetista per centro benessere;0
Servizio ai tavoli;Contabile esperto in gestione finanziaria e bilanci aziendali;0
Gestione di ristoranti e cucine;Graphic designer per brand identity;0
Conoscenza di diete speciali (vegana, senza glutine);Specialista in Creazione di Corsi Online - Inizio immediato!;0
Programmazione in Python;Receptionist in azienda - Ambiente accogliente;0
Programmazione in JavaScript;Calzolaio per bottega artigianale - Posizione stabile;0
Creazione di siti web (HTML/CSS);Addetto/a amministrativo - Contratto regolare;0
Sviluppo di applicazioni mobile;Responsabile sala - Leadership e organizzazione;0
Analisi dei dati con Excel o Power BI;Cameriere/a part-time per eventi privati;0
Automazione dei processi con script;Progettista edile junior - Collaborazione a lungo termine;0
Sviluppo di videogiochi;Installatore di impianti idrici - Lavoro regolare;0
Configurazione di reti informatiche;Graphic Designer - Creazione Loghi e Brand Identit;0
Sicurezza informatica;Creatore di contenuti multilingue per aziende;0
Creazione di database;Collaboratore per progetti di agricoltura biologica;0
Assistenza tecnica hardware/software;Infermiere/a per assistenza domiciliare;0
Utilizzo di strumenti CAD;Addetto/a supporto giovani migranti - Contratto flessibile;0
Progettazione grafica (Photoshop, Illustrator);Venditore ambulante - Progetto individuale;0
Progettazione di interni;Consulente alle vendite per negozio tecnologico;0
Disegno tecnico e industriale;Gestore di negozio second-hand - Opportunità sociale;0
Progettazione 3D (Blender, AutoCAD);Addetto/a reparto ortofrutta - Contratto immediato;0
Fotografia professionale;Sarta/o per riparazioni e cucito;0
Editing video (Premiere, Final Cut);Addetto/a contabilità base - Opportunità formativa;0
Creazione di loghi e brand identity;Autista NCC - Disponibilità immediata;0
Progettazione di materiali pubblicitari;Restauratore di Antiquariato;0
Creazione di contenuti per social media;Autista patente B cercasi - Consegne a breve distanza;0
Produzione musicale;Traduttore specializzato in testi legali e scientifici;0
Gestione di campagne pubblicitarie;Web designer per progetti locali - Lavoro flessibile;0
Creazione di contenuti per blog;Falegname cercasi - Contratto stabile;0
Scrittura SEO per il web;Raccolta olive e uva - Posizione temporanea ben pagata;0
Analisi di mercato;Organizzatore di spazi e Creatore di contenuti - Inizio immediato!;0
Gestione di account social media;Insegnante di supporto per certificazioni linguistiche;0
Pianificazione di strategie di marketing digitale;Avvocato esperto in diritto societario e contrattualistica;0
Email marketing;Assistente Scolastico e Cuoco/a per famiglia - Inizio immediato!;0
Gestione di relazioni con i clienti (CRM);Autista patente C + CQC - Contratto stabile;0
Pubblicità su piattaforme come Google Ads o Facebook Ads;Addetto sala per bistrot - servizio clienti e gestione comande;0
Creazione di newsletter;Personale per tintoria – Lavaggio a secco e trattamento antimacchia;0
Scrittura creativa e narrativa;Riparazione di elettrodomestici - Competenze chiave: riparazione schede elettroniche, amperometro). Istruzione minima: ScuolaPrimaria. Aggiornamento costante sulle nuove tecnologie e strumenti del settore. Azienda in forte crescita cerca personale qualificato.;0
Redazione di articoli giornalistici;Consulente strategico per studi di mercato e analisi competitiva nel settore retail.;0
Traduzione di documenti in lingue straniere;Esperto in Google Ads e Meta Ads per strategie pubblicitarie aziendali;0
Revisione e correzione di testi;Autista per trasporto merci e consegne urbane;0
Scrittura di manuali tecnici;Aiuto chef per resort stagionale;0
Scrittura accademica e tesi di laurea;Personal trainer per preparazione atletica;0
Scrittura di sceneggiature;Addetto/a gestione bagagli in hotel;0
Insegnamento di materie scolastiche (matematica, italiano);Allevatore/trice per piccolo allevamento biologico;0
Tutoraggio per studenti universitari;Cuoco/a specializzato in cucina etnica - Contratto stabile;0
Assistenza ai compiti per bambini;Growth Hacker con focus su strategie di acquisizione e conversione clienti;0
Insegnamento di lingue straniere;Verniciatore industriale - Contratto immediato;0
Lavorare con bambini e animatori per eventi;Restauratore di ceramiche antiche;0
Supporto educativo per bambini con disabilità;Social Media Manager per la gestione di campagne promozionali sui social;0
Lezioni di musica (pianoforte, chitarra);Operaio/a produzione alimentare - Turni mattutini;0
Lezioni di sport o personal trainer;Addetto/a alle pulizie industriali - Inizio immediato!;0
Creazione di corsi online;Magazziniere con esperienza - Turni flessibili;0
Lavorazione del legno;Autista NCC - Disponibilità immediata;0
Creazione di gioielli artigianali;Addetto/a alle pulizie industriali - Inizio immediato!;0
Cucito e riparazione di abiti;Cameriere/a per ristorante tipico - Lavoro stabile;0
Decorazione di interni;Developer per sviluppo di dashboard interattive con D3.js e JavaScript;0
Falegnameria su misura;Cameriere per eventi e banchetti;0
Realizzazione di sculture o opere d’arte;Cassiere/a per supermercato - Part-time disponibile;0
Restauro di mobili antichi;Addetto/a alla pulizia e manutenzione tecnica;0
Origami o arti decorative;Social Media Manager - Lavoro da remoto;0
Assistenza a persone anziane;Tecnico/a del cucito per riparazioni di divise aziendali;0
Cura e assistenza a persone con disabilità;Fattorino per consegne rapide - Moto aziendale;0
Massaggi e trattamenti benessere;Facchino per hotel di lusso - Lavoro stabile;0
Consulenza nutrizionale;Parrucchiere/a - Ambiente giovane e dinamico;0
Consulenza per fitness e allenamenti personalizzati;Lavoro nei campi - Opportunità stagionale e alloggio;0
Babysitting e cura di bambini piccoli;Addetto/a alla lavanderia - Contratto con formazione;0
Coaching personale e motivazionale;Interpretariato in Tempo Reale - Contratto Immediato!;0
Interpretariato in tempo reale;Tecnico di laboratorio per analisi chimiche;0
Traduzione simultanea durante eventi;Imbianchino per progetti residenziali - Materiali forniti;0
Insegnamento di italiano per stranieri;Carpentiere edile - Opportunità di crescita professionale;0
Traduzione testi tecnici in inglese, francese, ecc.;Specialista in coaching motivazionale per giovani professionisti;0
Supporto per esami di certificazioni linguistiche;Nutrizionista per supporto personalizzato a pazienti con malattie metaboliche;0
Creazione di contenuti multilingue per aziende;Food & Beverage Manager per hotel 4 stelle;0
Organizzazione di eventi e matrimoni;Addetto/a back office - Contratto flessibile;0
Gestione di team e progetti complessi;Barista per caffetteria artigianale;0
Pianificazione logistica e trasporti;Docente di lingua italiana per studenti internazionali, livello A1-C2;0
